date,company_id,factory_id,equipment_id,energy_kwh,share_pct,status
2024-05-29,C001,F001,EQ001,24.9,15.5,Normal
2024-05-29,C001,F001,EQ002,28.5,17.8,High Usage
2024-05-29,C001,F001,EQ003,22.1,13.8,Warning
2024-05-29,C001,F001,EQ004,18.7,11.7,Normal
2024-05-29,C001,F001,EQ005,12.4,7.7,Warning
2024-05-29,C001,F001,EQ006,7.8,4.9,Normal
2024-05-29,C001,F001,EQ007,25.8,16.1,Normal
2024-05-29,C001,F001,EQ008,20.3,12.7,Normal
2024-05-29,C002,F003,EQ101,48.6,22.5,High Usage
2024-05-29,C002,F003,EQ102,39.2,18.1,Normal
2024-05-29,C003,F004,EQ201,30.4,22.3,Normal
2024-05-29,C003,F004,EQ202,26.8,19.7,Warning
